===============================================================
Gobuster v3.8
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:            https://www.silabs.com/wireless/wi-fi/siwx917y-wireless-modules
[+] Method:         GET
[+] Threads:        100
[+] Wordlist:       /home/yaniv/wl/yaniv_wordlist/dir-all.txt
[+] Status codes:   500,200,301,302,403,401
[+] User Agent:     gobuster/3.8
[+] Timeout:        10s
===============================================================
Starting gobuster in directory enumeration mode
===============================================================
/aatpfirewalls        (Status: 403) [Size: 444]
/aatpavwin            (Status: 403) [Size: 440]
/aatpsuiteswin        (Status: 403) [Size: 444]
/aatpsuitesmac        (Status: 403) [Size: 444]
/aatpwysedmac         (Status: 403) [Size: 443]
/aatptelevision       (Status: 403) [Size: 445]
/aaTravelAgentLogin   (Status: 403) [Size: 449]
/aatpwyslinux         (Status: 403) [Size: 443]
/aaTravelTools        (Status: 403) [Size: 444]
/aatpwyswindows       (Status: 403) [Size: 445]
/aatu                 (Status: 403) [Size: 435]
/aattc                (Status: 403) [Size: 436]
/aaup                 (Status: 403) [Size: 435]
/aau                  (Status: 403) [Size: 434]
/AAUPlogo             (Status: 403) [Size: 439]
/AAUP                 (Status: 403) [Size: 435]
/aav                  (Status: 403) [Size: 434]
/aaVegasDestinations  (Status: 403) [Size: 450]
/AAVacations          (Status: 403) [Size: 442]
/aavl                 (Status: 403) [Size: 435]
/aavh                 (Status: 403) [Size: 435]
/aavs                 (Status: 403) [Size: 435]
/aavvaa               (Status: 403) [Size: 437]
/aaWhatToBuy          (Status: 403) [Size: 442]
/AAWP                 (Status: 403) [Size: 435]
/aawsepro             (Status: 403) [Size: 439]
/aawt                 (Status: 403) [Size: 435]
/aaxc                 (Status: 403) [Size: 435]
/aax                  (Status: 403) [Size: 434]
/aaxv                 (Status: 403) [Size: 435]
/aaxp                 (Status: 403) [Size: 435]
/AAXX                 (Status: 403) [Size: 435]
/aaxs                 (Status: 403) [Size: 435]
/aayd                 (Status: 403) [Size: 435]
/aay                  (Status: 403) [Size: 434]
/aayvusw              (Status: 403) [Size: 438]
/AAZ                  (Status: 403) [Size: 434]
/aazeroday            (Status: 403) [Size: 440]
/aaz                  (Status: 403) [Size: 434]
/aazn                 (Status: 403) [Size: 435]
/aazu                 (Status: 403) [Size: 435]
/aazm                 (Status: 403) [Size: 435]
/Ab                   (Status: 403) [Size: 433]
/AB                   (Status: 403) [Size: 433]
/ABA                  (Status: 403) [Size: 434]
/aba                  (Status: 403) [Size: 434]
/ababankcompliance    (Status: 403) [Size: 448]
/ababankmarketing     (Status: 403) [Size: 447]
/ababypink            (Status: 403) [Size: 440]
/Abac                 (Status: 403) [Size: 435]
/abac                 (Status: 403) [Size: 435]
/abacad               (Status: 403) [Size: 437]
/abacard              (Status: 403) [Size: 438]
/Abacus               (Status: 403) [Size: 437]
/abacus               (Status: 403) [Size: 437]
/abacuslawgold        (Status: 403) [Size: 444]
/abacuslawsilver      (Status: 403) [Size: 446]
/abaddon              (Status: 403) [Size: 438]
/abad                 (Status: 403) [Size: 435]
/abaestadualitem      (Status: 403) [Size: 446]
/ABAD                 (Status: 403) [Size: 435]
/abaete               (Status: 403) [Size: 437]
/abaittut             (Status: 403) [Size: 439]
/abainfo              (Status: 403) [Size: 438]
/abafederalitem       (Status: 403) [Size: 445]
/Abakt                (Status: 403) [Size: 436]
/abajo                (Status: 403) [Size: 436]
/abaker               (Status: 403) [Size: 437]
/aballot              (Status: 403) [Size: 438]
/Abalone              (Status: 403) [Size: 438]
/abalt                (Status: 403) [Size: 436]
/abala                (Status: 403) [Size: 436]
/ABAMN                (Status: 403) [Size: 436]
/Abalaburn            (Status: 403) [Size: 440]
/abamnhottopictabgreen (Status: 403) [Size: 452]
/aaw                  (Status: 403) [Size: 434]
/aawlan               (Status: 403) [Size: 437]
/AbandonedPages       (Status: 403) [Size: 445]
/aawsepersonal        (Status: 403) [Size: 444]
/abandonware          (Status: 403) [Size: 442]
/Abandoned            (Status: 403) [Size: 440]
/abanet               (Status: 403) [Size: 437]
/abanos               (Status: 403) [Size: 437]
/abanprop             (Status: 403) [Size: 439]
/abapubs              (Status: 403) [Size: 438]
/abarcarSQL           (Status: 403) [Size: 441]
/abaranger            (Status: 403) [Size: 440]
/abargadon            (Status: 403) [Size: 440]
/abas                 (Status: 403) [Size: 435]
/abarrs               (Status: 403) [Size: 437]
/ABASA                (Status: 403) [Size: 436]
/abasetup             (Status: 403) [Size: 439]
